"name","variable","value"
"Acinonyx_jubatus","Kindergarten + Primary school",27
"Acinonyx_jubatus2","Kindergarten + Primary school",190
"Acryllium_vulturinum","Kindergarten + Primary school",104
"Aepyceros_melampus","Kindergarten + Primary school",84
"Aepyceros_melampus2","Kindergarten + Primary school",6
"Agalychnis_callidryas","Kindergarten + Primary school",43
"Ailuropoda_melanoleuca","Kindergarten + Primary school",4
"Ailurops_ursinus","Kindergarten + Primary school",53
"Ailurus_fulgens","Kindergarten + Primary school",17
"Alligator_mississippiensis","Kindergarten + Primary school",169
"Amblyrhynchus_cristatus","Kindergarten + Primary school",183
"Aonyx_cinereus","Kindergarten + Primary school",10
"Aonyx_cinereus2","Kindergarten + Primary school",50
"Aquila_chrysaetos","Kindergarten + Primary school",153
"Ara_ararauna","Kindergarten + Primary school",47
"Ara_chloropterus","Kindergarten + Primary school",79
"Arctocephalus forsteri","Kindergarten + Primary school",13
"Arctocephalus_forsteri2","Kindergarten + Primary school",137
"Artibeus_planirostris","Kindergarten + Primary school",111
"Asio_flammeus","Kindergarten + Primary school",NA
"Ateles_hybridus","Kindergarten + Primary school",177
"Ateles_paniscus","Kindergarten + Primary school",171
"Athene_noctua","Kindergarten + Primary school",14
"Athene_noctua2","Kindergarten + Primary school",69
"Athene_noctua3","Kindergarten + Primary school",143
"Balaeniceps_rex","Kindergarten + Primary school",109
"Bison_bonasus","Kindergarten + Primary school",199
"Bison_bonasus2","Kindergarten + Primary school",82
"Boa_constrictor","Kindergarten + Primary school",200
"Bubo_bubo","Kindergarten + Primary school",166
"Bubo_bubo2","Kindergarten + Primary school",55
"Bubo_scandiacus","Kindergarten + Primary school",110
"Bufonidae","Kindergarten + Primary school",206
"Buprestidae","Kindergarten + Primary school",151
"Buteo_galapagoensis","Kindergarten + Primary school",67
"Cairina_moschata","Kindergarten + Primary school",119
"Calliphora_vomitoria","Kindergarten + Primary school",160
"Callithrix_argentata","Kindergarten + Primary school",150
"Callithrix_penicillata","Kindergarten + Primary school",68
"Calloselasma rhodostoma","Kindergarten + Primary school",209
"Canis_lupus","Kindergarten + Primary school",11
"Canis_lupus_familiaris","Kindergarten + Primary school",65
"Canis_lupus_familiaris2","Kindergarten + Primary school",103
"Carlito_syrichta","Kindergarten + Primary school",28
"Centurio_senex","Kindergarten + Primary school",220
"Cerdocyon_thous","Kindergarten + Primary school",36
"Chelonoidis_porteri","Kindergarten + Primary school",42
"Choloepus_didactylus","Kindergarten + Primary school",127
"Choloepus_didactylus2","Kindergarten + Primary school",152
"Choloepus_didactylus3","Kindergarten + Primary school",24
"Chroicocephalus_scopulinus","Kindergarten + Primary school",108
"Columba_livia","Kindergarten + Primary school",58
"Conolophus_pallidus","Kindergarten + Primary school",130
"Corvus","Kindergarten + Primary school",81
"Corvus2","Kindergarten + Primary school",83
"Crocodylus_porosus","Kindergarten + Primary school",138
"Crocuta_crocuta","Kindergarten + Primary school",167
"Crotalus_atrox","Kindergarten + Primary school",141
"Crotalus2","Kindergarten + Primary school",46
"Cryptoprocto _ferox","Kindergarten + Primary school",44
"Cynictis_penicillata","Kindergarten + Primary school",73
"Dasypus_novemcinctus","Kindergarten + Primary school",92
