"name","High school + Middle school","High school diploma","Kindergarten + Primary school","Master's degree","One/two/three-year technical/university degree","Other","PhD and more","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Panthera_pardus",1709.2,1713,1559.9,1729.5,1703.7,1654.5,1912.2,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_pardus_3",1615.9,1793.1,1575.5,1717.1,1821,1709.7,1718.7,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_pardus2",1632.1,1655.2,1581.1,1684.6,1617.3,1689,1730.8,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_tigris2",1684.3,1730,1537.7,1675.5,1669.3,1527.4,1838.4,"Panthera_tigris","Mammal","Felidae","Yes","No","Yes"
"Panthera_uncia",1646.1,1664.2,1448.1,1738.8,1595.9,1521.9,1695.6,"Panthera_uncia","Mammal","Felidae","Yes","No","Yes"
"Papillon",1444.8,1586.5,1645.6,1548.9,1528.8,1501.8,1514.4,"Papillon","Insect","Lepidoptera","No","No","No"
"Papio_hamadryas",1464.3,1668,1531.4,1659.9,1599.6,1665.9,1652.4,"Papio_hamadryas","Mammal","Primate","No","No","No"
"Pardofelis_temminckii",1310.8,1544.3,1426.9,1617.6,1526.6,1701.7,1635.2,"Pardofelis_temminckii","Mammal","Felidae","Yes","Yes","No"
"Petroica_macrocephala",1190.4,1070.8,1265.7,1023.3,1001.8,1317.8,1129.7,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No"
"Phacochoerus_africanus",1604.4,1796.3,1634.4,1859.8,1770.8,1746,1817.1,"Phacochoerus_africanus","Mammal","Ungulate","No","No","No"
"Phascolarctos_cinereus",1283.5,1053,1319.1,1123.7,1004.7,1311.2,1177.1,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Phascolarctos_cinereus2",1102.5,1065.2,1271.5,993.3,1067.9,1185.5,1187.6,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Pholcus_phalangioides",1833.3,1834.5,1462.5,1878.7,1874.9,1688.1,1776.2,"Pholcus_phalangioides","Spider","Spider","No","Yes","No"
"Pithecia pithecia",1550.5,1513.2,1595.3,1491.3,1498.8,1452,1478.1,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Pithecia pithecia2",1351.8,1549.2,1622,1566.8,1510.6,1399.6,1594.1,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Plathyrrhinus_fusciventris",1563.6,1573.7,1365.6,1588.4,1580.3,1547.7,1517,"Platyrrhinus_fusciventris","Mammal","Chiroptera","No","No","No"
"Podarcis_muralis",1753.9,1679.2,1553.9,1559.8,1620.1,1528.9,1495,"Podarcis_muralis","Squamata","Lizard","No","Yes","No"
"Pogona_vitticeps",1401.8,1414.2,1388.6,1466.8,1454.9,1614.6,1570.1,"Pogona_vitticeps","Squamata","Lizard","No","Yes","No"
"Porphyrio_hochstetteri",1605,1580.5,1564.9,1500.9,1503,1484.9,1507.8,"Porphyrio_hochstetteri","Bird","Bird (not Raptor)","No","No","No"
