;Name_2;Species;Group;Subgroup;Predator of primates;Predator;Dangerous
196;Sula_sula ;Sula_sula;Bird;Bird (not Raptor);No;Yes;No
197;Suricata_suricatta ;Suricata_suricatta;Mammal;Mongoose;No;Yes;No
198;Sus_scrofa ;Sus_scrofa;Mammal;Ungulate;No;No;Yes
199;Tapirus_indicus ;Tapirus_indicus;Mammal;Ungulate;No;No;No
200;Taricha_torosa ;Taricha_torosa;Squamata;Amphibia;No;Yes;No
201;Tauraco_leucotis ;Tauraco_leucotis;Bird;Bird (not Raptor);No;No;No
202;Testudo_hermanni ;Testudo_hermanni;Squamata;Tortoise  ;No;No;No
203;Thalassarche_cauta ;Thalassarche_cauta;Bird;Bird (not Raptor);No;No;No
204;Theropithecus_gelada ;Theropithecus_gelada;Mammal;Primate;No;No;No
205;Thomisus_onustus ;Thomisus_onustus;Spider;Spider;No;Yes;No
206;Tockus_flavirostris ;Tockus_flavirostris;Bird;Bird (not Raptor);No;No;No
207;Trichosurus_vulpecula ;Trichosurus_vulpecula;Mammal;Marsupial;No;No;No
208;Ursus_arctos_horribilis ;Ursus_arctos_horribilis;Mammal;Ursus;Yes;No;Yes
209;Ursus_maritimus ;Ursus_maritimus;Mammal;Ursus;Yes;No;Yes
210;Ursus_thibetanus ;Ursus_thibetanus;Mammal;Ursus;No;Yes;Yes
211;Varecia_rubra ;Varecia_rubra;Mammal;Primate;No;No;No
212;Varecia_variegata ;Varecia_variegata;Mammal;Primate;No;No;No
213;Vespula_germanica ;Vespula_germanica;Insect;Hymenoptera;No;Yes;Yes
214;Vicugna_pacos ;Vicugna_pacos;Mammal;Ungulate;No;No;No
215;Vicugna_pacos2 ;Vicugna_pacos;Mammal;Ungulate;No;No;No
216;Vicugna_vicugna ;Vicugna_vicugna;Mammal;Ungulate;No;No;No
217;Vipera_ammodytes ;Vipera_ammodytes;Squamata;Snake;No;Yes;Yes
218;Vipera_aspis ;Vipera_aspis;Squamata;Snake;No;Yes;Yes
219;Vulpes_zerda ;Vulpes_zerda;Mammal;Canidae;No;Yes;No
220;Zamenis_longissimus ;Zamenis_longissimus;Squamata;Snake;No;Yes;No
221;Zoropsis_spinimana ;Zoropsis_spinimana;Spider;Spider;No;Yes;No
