"name","variable","value"
"Rhyticeros_cassidix","+ 30 years old",1385.9
"Romalea_microptera","+ 30 years old",1383.1
"Saiga_tatarica","+ 30 years old",1456.2
"Sarcophilus_harrisii","+ 30 years old",1605.4
"Spalax","+ 30 years old",1513.6
"Spheniscus_humboldti","+ 30 years old",1203
"Stephanoaetus_coronatus","+ 30 years old",1487.8
"Strophurus","+ 30 years old",1495.3
"Struthio_camelus","+ 30 years old",1538.1
"Sula_nebouxii","+ 30 years old",1444.1
"Sula_sula","+ 30 years old",1407.4
"Suricata_suricatta","+ 30 years old",1342.5
"Sus_scrofa","+ 30 years old",1551.2
"Tapirus_indicus","+ 30 years old",1326.8
"Taricha_torosa","+ 30 years old",1400.9
"Tauraco_leucotis","+ 30 years old",1108.5
"Testudo_hermanni","+ 30 years old",1075.4
"Thalassarche_cauta","+ 30 years old",1510
"Theropithecus_gelada","+ 30 years old",1674.9
"Thomisus_onustus","+ 30 years old",1700.3
"Tockus_flavirostris","+ 30 years old",1473.4
"Trichosurus_vulpecula","+ 30 years old",1432.7
"Ursus_arctos_horribilis","+ 30 years old",1754.7
"Ursus_maritimus","+ 30 years old",1729.6
"Ursus_thibetanus","+ 30 years old",1683
"Varecia_rubra","+ 30 years old",1409.9
"Varecia_variegata","+ 30 years old",1382.1
"Vespula_germanica","+ 30 years old",1668.1
"Vicugna_pacos","+ 30 years old",1385.5
"Vicugna_pacos2","+ 30 years old",1327.8
"Vicugna_vicugna","+ 30 years old",1159.5
"Vipera_ammodytes","+ 30 years old",1872.5
"Vipera_aspis","+ 30 years old",1820.4
"Vulpes_zerda","+ 30 years old",1296.4
"Zamenis_longissimus","+ 30 years old",1787.7
"Zoropsis_spinimana","+ 30 years old",1786.2
