"","Name","EloScore","EloRank","Name2","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"185","Rhinopithecus_roxellana",1320.55,42,"Rhinopithecus_roxellana ","Rhinopithecus_roxellana","Mammal","Primate","No","No","No"
"186","Rhyticeros_cassidix",1401.68,77,"Rhyticeros_cassidix ","Rhyticeros_cassidix","Bird","Bird (not Raptor)","No","No","No"
"187","Romalea_microptera",1453.17,89,"Romalea_microptera ","Romalea_microptera","Insect","Orthoptere","No","No","No"
"188","Saiga_tatarica",1471.64,95,"Saiga_tatarica ","Saiga_tatarica","Mammal","Ungulate","No","No","No"
"189","Sarcophilus_harrisii",1569.46,143,"Sarcophilus_harrisii ","Sarcophilus_harrisii","Mammal","Marsupial","No","Yes","No"
"190","Spalax",1527.5,122,"Spalax ","Spalax","Mammal","Rodent","No","No","No"
"191","Spheniscus_humboldti",1236.11,17,"Spheniscus_humboldti ","Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No"
"192","Stephanoaetus_coronatus",1535.87,128,"Stephanoaetus_coronatus ","Stephanoaetus_coronatus","Bird","Raptor","Yes","No","No"
"193","Strophurus",1513.53,117,"Strophurus ","Strophurus_","Squamata","Lizard","No","Yes","No"
"194","Struthio_camelus",1545.91,138,"Struthio_camelus ","Struthio_camelus","Bird","Bird (not Raptor)","No","No","No"
"195","Sula_nebouxii",1474.28,97,"Sula_nebouxii ","Sula_nebouxii","Bird","Bird (not Raptor)","No","Yes","No"
"196","Sula_sula",1446.74,87,"Sula_sula ","Sula_sula","Bird","Bird (not Raptor)","No","Yes","No"
"197","Suricata_suricatta",1296.5,35,"Suricata_suricatta ","Suricata_suricatta","Mammal","Mongoose","No","Yes","No"
"198","Sus_scrofa",1597.4,153,"Sus_scrofa ","Sus_scrofa","Mammal","Ungulate","No","No","Yes"
"199","Tapirus_indicus",1354.26,60,"Tapirus_indicus ","Tapirus_indicus","Mammal","Ungulate","No","No","No"
"200","Taricha_torosa",1438.97,85,"Taricha_torosa ","Taricha_torosa","Squamata","Amphibia","No","Yes","No"
"201","Tauraco_leucotis",1157.22,8,"Tauraco_leucotis ","Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No"
"202","Testudo_hermanni",1145.48,7,"Testudo_hermanni ","Testudo_hermanni","Squamata","Tortoise  ","No","No","No"
"203","Thalassarche_cauta",1490.98,107,"Thalassarche_cauta ","Thalassarche_cauta","Bird","Bird (not Raptor)","No","No","No"
"204","Theropithecus_gelada",1693.45,178,"Theropithecus_gelada ","Theropithecus_gelada","Mammal","Primate","No","No","No"
"205","Thomisus_onustus",1709.24,183,"Thomisus_onustus ","Thomisus_onustus","Spider","Spider","No","Yes","No"
